,Alpha,Cost,latency,ToleranceWindow
0,0.5,0.69051,0.0,0
1,0.5,1.19051,0.0,0
2,0.5,1.19051,0.0,0
3,0.5,1.69051,0.0,0
4,0.5,1.19051,0.0,0
5,0.5,1.69051,0.0,0
6,0.5,1.69051,0.0,0
7,0.5,2.1905099999999997,0.0,0
8,0.5,1.19051,0.0,0
9,0.5,1.69051,0.0,0
10,0.5,1.69051,0.0,0
11,0.5,2.1905099999999997,0.0,0
12,0.5,1.69051,0.0,0
13,0.5,2.1905099999999997,0.0,0
14,0.5,2.19051,0.0,0
15,0.5,2.69051,0.0,0
16,0.5,1.1905100000000002,0.0,0
17,0.5,1.6905100000000002,0.0,0
18,0.5,1.6905100000000002,0.0,0
19,0.5,2.19051,0.0,0
20,0.5,1.6905100000000002,0.0,0
21,0.5,2.19051,0.0,0
22,0.5,2.19051,0.0,0
23,0.5,2.69051,0.0,0
24,0.5,1.6905100000000002,0.0,0
25,0.5,2.19051,0.0,0
26,0.5,2.19051,0.0,0
27,0.5,2.69051,0.0,0
28,0.5,2.19051,0.0,0
29,0.5,2.69051,0.0,0
30,0.5,2.69051,0.0,0
31,0.5,3.19051,0.0,0
32,0.5,1.1905100000000002,0.0,0
33,0.5,1.6905100000000002,0.0,0
34,0.5,1.6905100000000002,0.0,0
35,0.5,2.19051,0.0,0
36,0.5,1.6905100000000002,0.0,0
37,0.5,2.19051,0.0,0
38,0.5,2.19051,0.0,0
39,0.5,2.69051,0.0,0
40,0.5,1.6905100000000002,0.0,0
41,0.5,2.19051,0.0,0
42,0.5,2.19051,0.0,0
43,0.5,2.69051,0.0,0
44,0.5,2.19051,0.0,0
45,0.5,2.69051,0.0,0
46,0.5,2.69051,0.0,0
47,0.5,3.19051,0.0,0
48,0.5,1.6905100000000002,0.0,0
49,0.5,2.19051,0.0,0
50,0.5,2.19051,0.0,0
51,0.5,2.69051,0.0,0
52,0.5,2.19051,0.0,0
53,0.5,2.69051,0.0,0
54,0.5,2.69051,0.0,0
55,0.5,3.19051,0.0,0
56,0.5,2.19051,0.0,0
57,0.5,2.69051,0.0,0
58,0.5,2.69051,0.0,0
59,0.5,3.19051,0.0,0
60,0.5,2.69051,0.0,0
61,0.5,3.19051,0.0,0
62,0.5,3.19051,0.0,0
63,0.5,3.69051,0.0,0
64,0.5,1.1905100000000002,0.0,0
65,0.5,1.6905100000000002,0.0,0
66,0.5,1.6905100000000002,0.0,0
67,0.5,2.19051,0.0,0
68,0.5,1.6905100000000002,0.0,0
69,0.5,2.19051,0.0,0
70,0.5,2.19051,0.0,0
71,0.5,2.69051,0.0,0
72,0.5,1.6905100000000002,0.0,0
73,0.5,2.19051,0.0,0
74,0.5,2.19051,0.0,0
75,0.5,2.69051,0.0,0
76,0.5,2.19051,0.0,0
77,0.5,2.69051,0.0,0
78,0.5,2.69051,0.0,0
79,0.5,3.19051,0.0,0
80,0.5,1.6905100000000002,0.0,0
81,0.5,2.19051,0.0,0
82,0.5,2.19051,0.0,0
83,0.5,2.69051,0.0,0
84,0.5,2.19051,0.0,0
85,0.5,2.69051,0.0,0
86,0.5,2.69051,0.0,0
87,0.5,3.19051,0.0,0
88,0.5,2.19051,0.0,0
89,0.5,2.69051,0.0,0
90,0.5,2.69051,0.0,0
91,0.5,3.19051,0.0,0
92,0.5,2.69051,0.0,0
93,0.5,3.19051,0.0,0
94,0.5,3.19051,0.0,0
95,0.5,3.69051,0.0,0
96,0.5,1.6905100000000002,0.0,0
97,0.5,2.19051,0.0,0
98,0.5,2.19051,0.0,0
99,0.5,2.69051,0.0,0
100,0.5,2.19051,0.0,0
101,0.5,2.69051,0.0,0
102,0.5,2.69051,0.0,0
103,0.5,3.19051,0.0,0
104,0.5,2.19051,0.0,0
105,0.5,2.69051,0.0,0
106,0.5,2.69051,0.0,0
107,0.5,3.19051,0.0,0
108,0.5,2.69051,0.0,0
109,0.5,3.19051,0.0,0
110,0.5,3.19051,0.0,0
111,0.5,3.69051,0.0,0
112,0.5,2.19051,0.0,0
113,0.5,2.69051,0.0,0
114,0.5,2.69051,0.0,0
115,0.5,3.19051,0.0,0
116,0.5,2.69051,0.0,0
117,0.5,3.19051,0.0,0
118,0.5,3.19051,0.0,0
119,0.5,3.69051,0.0,0
120,0.5,2.69051,0.0,0
121,0.5,3.19051,0.0,0
122,0.5,3.19051,0.0,0
123,0.5,3.69051,0.0,0
124,0.5,3.19051,0.0,0
125,0.5,3.69051,0.0,0
126,0.5,3.69051,0.0,0
127,0.5,4.19051,0.0,0
128,0.5,0.69051,0.0,25
